contact_operateur,nom_enseigne,id_station_itinerance,nom_station,implantation_station,adresse_station,coordonneesXY,nbre_pdc,id_pdc_itinerance,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,paiement_acte,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,date_maj,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified,consolidated_is_code_insee_modified
bornes@solveo-energies.com,SOLVEO ENERGIES,DKMONE3785709,Montestruc,Parking public,Rue du 19 mars 1962 32390 Montestruc,"[0.628264, 43.792972]",8,DKMONE3785709,150,false,false,true,false,false,true,"0,59 €/kWh",Accès libre,false,24/7,Non accessible,Sans restriction,false,2025-01-31,2025-02-01T06:31:42Z,676437e9f2aa25e0cf4dcd0e,3263fa2b-e445-4481-a386-dc13f951afae,solveo-energies,2025-01-31T15:35:20Z,0.628264,43.792972,32390,Montestruc-sur-Gers,TRUE,TRUE,FALSE
bornes@solveo-energies.com,SOLVEO ENERGIES,DKMONE4353337,Tommy's,Parking privé à usage public,258 Avenue la Méridienne 31670 Labège,"[1.512599, 43.539773]",4,DKMONE4353337,150,false,false,true,false,false,true,"0,59 €/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,Sans restriction,false,2025-01-28,2025-01-29T06:26:15Z,6798f07dcd2e84d9cb4a50c2,66d8dffc-a8c2-4b88-9077-8086bf352fa5,solveo-energies,2025-01-28T14:58:06Z,1.512599,43.539773,31670,Labège,TRUE,TRUE,FALSE
contact@car2plug.fr,MAIRIE - 77640,FRC2N815458236,MAIRIE - 77640,Voirie,Place Auguste Tinchan 77640 JOUARRE,"[3.130455146024364, 48.92768371647863]",2,FR2NE8154582362,22.08,true,true,false,false,false,true,"0,40€ / kwh pour les non abonnés.",Accès libre,false,24/7,Accessible mais non réservé PMR,aucune restriction,false,2023-02-21,2025-12-09T04:56:53Z,6115428e312da5af8171de25,57d78ad8-0140-4b5a-a8d0-3ed063345cd6,car2plug,2025-12-08T19:18:12Z,3.130455146024364,48.92768371647863,77640,Jouarre,TRUE,TRUE,FALSE
exploitation@r3-charge.fr,R3,FR3R3P89333944,R3 - Joué-les-Tours - Pizza Del Arte,Parking privé à usage public,"15 Rue Gutenberg, 37300 Joue les tours","[0.647692, 47.348015]",5,FR3R3E10000849641,150,false,false,true,false,false,true,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,non précisé,false,2025-12-12,2026-01-08T05:09:01Z,639c48ddcf2d74927c28447c,3facdad9-290b-47f1-8150-b2eb84a01773,r3,2026-01-07T17:36:08Z,0.647692,47.348015,37300,Joué-lès-Tours,TRUE,TRUE,FALSE
exploitation@r3-charge.fr,R3,FR3R3P89333944,R3 - Joué-les-Tours - Pizza Del Arte,Parking privé à usage public,"15 Rue Gutenberg, 37300 Joue les tours","[0.647698, 47.34806]",5,FR3R3E10000850261,150,false,false,true,false,false,true,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,non précisé,false,2025-12-12,2026-01-08T05:09:01Z,639c48ddcf2d74927c28447c,3facdad9-290b-47f1-8150-b2eb84a01773,r3,2026-01-07T17:36:08Z,0.647698,47.34806,37300,Joué-lès-Tours,TRUE,TRUE,FALSE
exploitation@r3-charge.fr,R3,FR3R3P89882136,R3 - Vannes - Mr Meuble,Parking privé à usage public,"parking Gemo, 56000 Vannes","[-2.781345, 47.664063]",4,FR3R3E10001456611,150,false,false,true,false,false,true,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,non précisé,false,2025-12-12,2026-01-08T05:09:01Z,639c48ddcf2d74927c28447c,3facdad9-290b-47f1-8150-b2eb84a01773,r3,2026-01-07T17:36:08Z,-2.781345,47.664063,56000,Vannes,TRUE,TRUE,FALSE
exploitation@r3-charge.fr,R3,FR3R3P90222922,R3 - Estancarbon - Chaussea,Parking privé à usage public,"5 Av. du Cagire, 31800 Estancarbon","[0.760407, 43.117013]",6,FR3R3E10001456681,150,false,false,true,false,false,true,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,non précisé,false,2025-12-12,2026-01-08T05:09:01Z,639c48ddcf2d74927c28447c,3facdad9-290b-47f1-8150-b2eb84a01773,r3,2026-01-07T17:36:08Z,0.760407,43.117013,31800,Estancarbon,TRUE,TRUE,FALSE
exploitation@r3-charge.fr,R3,FR3R3P90346811,R3 - Albi Le Sequestre - Action,Parking privé à usage public,"Rue de Cap Long, 81990 Le Sequestre","[2.129364, 43.911593]",4,FR3R3E10001456811,150,false,false,true,false,false,true,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,non précisé,false,2025-12-12,2026-01-08T05:09:01Z,639c48ddcf2d74927c28447c,3facdad9-290b-47f1-8150-b2eb84a01773,r3,2026-01-07T17:36:08Z,2.129364,43.911593,81990,Le Sequestre,TRUE,TRUE,FALSE
garage.chene@gmail.com,GARAGE CHENE -TOTAL ENERGIES - CITROEN,FR515600001,EvBox DC,Station dédiée à la recharge rapide,34 Rue Pasteur 69Bordeaux,"[4.84,45.79]",2,FR515600001,50,false,false,true,true,false,false,"0,60",Accès libre,false,24/7,Accessible mais non réservé PMR,Pas de restriction,false,2022-10-22,2024-12-06T06:49:15Z,6353bed2bed98f619c935a9f,69b9c571-6765-4a53-ace0-370acb5c378e,garage-chene-total-energie-citroen,2022-10-22T11:58:42Z,4.84,45.79,69300,Caluire-et-Cuire,TRUE,TRUE,FALSE
sav@izivia.com,Wiiiz,FRA16PWIIZ133,Biot Parking Roumanille,Voirie,Avenue Roumanille 06410 Biot,"[7.074897, 43.618336]",2,FRA16EWIIZ13311,50,False,True,False,False,False,True,"Les tarifs de recharge peuvent varier en fonction de plusieurs facteurs, y compris le fournisseur de services, l'emplacement de la borne, la puissance de charge, et les éventuelles promotions en cours. Il est recommandé de consulter directement les informations tarifaires auprès du gestionnaire de la borne ou via l'application mobile associée pour obtenir les détails les plus récents et précis.",Accès libre,False,24/7,Accessibilité inconnue,Aucune Restriction,False,2026-01-11,2026-01-11T07:01:14Z,6112801882206048b39452c2,87194f3d-57fb-4b0e-a81c-c22cc4aa59e3,izivia,2021-08-10T15:33:17Z,7.074897,43.618336,06410,Biot,TRUE,TRUE,FALSE
